nspec,t90,t90_lo,t90_hi,t99,t99_lo,t99_hi,stellar_mass
604,7.267544883025709,1.630387737991632,2.40689774224904,10.70263181265643,1.3210704208251354,0.9749656879999744,10.856662588160239
616,0.5877515050904103,0.0,0.0,0.5877515050904099,0.0,0.0,
647,6.667367425480236,0.8529881884839696,3.9083163175546254,12.507889517385012,0.1031650034695506,0.04829115388306526,9.50091514996276
652,7.199843565762149,0.34457888032566597,0.993415514861856,7.4715771635413795,0.37971134374968063,1.2475321665399193,10.664535759031063
674,8.541238555553784,2.1517845724907305,3.4154455828550088,12.490984067310935,0.09505436144627666,0.06107386159597894,10.045334560846095
676,7.384887961533591,0.3468794138332365,0.8202222748206012,12.446918728674607,0.2065510360467151,0.11607962439953745,9.548607533391841
701,3.0717761131293293,0.7326181535147116,4.611260550544769,12.500860315026872,0.10567067209273873,0.0486303473386247,9.775016936447168
704,3.4496915974351627,1.345966567641185,2.3507817340109898,4.162011104845451,1.6386563527248477,3.872582521309173,10.533516580007227
744,8.245634885049526,2.0311175139242295,1.9331913080003726,11.366922342682944,1.2426844928867702,0.5920863424649934,10.79120409600133
762,4.36641342948272,0.0,0.0,13.630182667147926,0.0,0.0,
763,9.08084211765593,1.4816437810843377,1.228842825174123,9.909861780363787,0.9919840890403222,1.2939707308275548,10.880663018499732
764,8.132175720268686,0.8895235908962906,0.8987840831807166,12.460664578120108,0.10720002908514026,0.04117065677541909,10.274562201093662
768,4.285300937285521,0.7999028402284902,2.07978920796677,12.5046997410554,0.07266120819045696,0.05620766659637155,10.486637928057084
850,5.814172892596766,0.48960798174264397,0.898698078499474,11.14852539620548,0.817431340662564,0.29474038392428703,10.399606188830644
855,2.7551297016835314,0.382639131918876,1.5106272444735098,11.836053815862517,0.2545129723415176,0.21575393838621792,10.781030968462108
857,6.853986457384124,2.1219423847075083,1.4657033732614284,10.318532966436589,1.1963361370324463,1.2883851255295564,10.833761181408406
