nspec,timesc,err_lo,err_hi,NSPEC,D_fil,D_along
378,0.221269099392857,0.1756767267991827,0.6712916386268566,378,4.0844143861382385,6.5568281081814135
389,4.748068399991352,3.739195139310812,1.74379547149916,389,0.5503166048225971,7.421261433196536
390,0.6688332606500693,0.5608047448489955,1.4259086451040417,390,0.8740987020599275,7.471726869110576
392,0.7279941451541969,0.5877938535971179,1.4245566311776383,392,1.5645322793045502,7.768920753594105
394,2.336415587810228,1.882071999867716,1.8900994864204816,394,1.206086070758123,7.434188602592116
396,4.0457278840565625,3.5121326598326537,3.189324648653077,396,2.1971477534492694,8.444002914642216
397,0.8223146542935957,0.6469896026173083,0.7323441552433554,397,1.074260050551157,7.161463013079149
399,6.142527863666774,4.063749932060685,1.5587347525723674,399,2.759223059817827,7.670548218911223
401,3.023476347687877,1.9163956625333345,1.653182249195006,401,4.3945242447398645,7.976979550292823
403,2.9202281382106907,2.43065168888801,1.8158682108884123,403,4.069101854296996,9.913838442120406
410,2.1217353423497425,1.40757218248317,1.6193297224842178,410,1.0137082547627518,8.44491900791904
430,3.087052470212937,1.7434732233835852,1.6917203867106307,430,4.573440427961285,9.220399101508082
436,0.9452406733332364,0.7683731628767028,2.0465212737404137,436,2.8575150947649286,8.647983220514684
437,0.1199718761165886,0.1078517834673435,0.3107374166835175,437,4.0821770805892745,9.40881623306978
444,3.397557213093967,2.5427231044055625,0.7745230699857308,444,1.5818278958234326,9.362493192954153
464,0.8805747310210732,0.6538807753317979,1.70746774552119,464,2.241410657052708,9.15590833193166
465,3.319948336459188,1.3448044919669044,2.6292905342256248,465,7.896734575154198,10.272990835931779
467,0.3333161506564868,0.2601895386119732,0.8033617261898045,467,2.0822682224096623,10.08796710313332
486,1.1883594190258195,0.8979400773086637,1.9643402657078173,486,6.583104879031311,7.458603252048706
490,6.2164011097149885,2.764112359442935,2.438356056179126,490,8.518938952513112,7.510594939258916
492,4.597409923961616,2.453851672552088,0.797081229565662,492,4.296024531876825,8.513231025405341
493,6.768524865941131,1.362486486325631,1.0518332437739346,493,3.9618190645752485,8.153089911827543
498,0.660357281504039,0.5027138359721981,1.637562320273128,498,4.843570946546632,6.727561712815183
502,7.447153034903357,3.97232518042817,2.0829341328333104,502,4.397176552815202,8.43277253985825
511,3.1686423272366517,2.682377613335907,2.5287016511137903,511,4.015637346804862,9.30439251298866
514,0.1821964429201692,0.1487425185863085,0.5229377928697687,514,6.393594754917354,9.270006869654123
536,6.086280842016294,4.0662813062030265,2.0818919937935627,536,3.122568958583103,7.8487698610877725
537,2.395840792767695,1.8042265094254404,2.2158830015550013,537,2.622667638745166,7.327835057975078
570,7.813653496355334,2.251739436606359,1.2129872264248824,570,5.7904343939095,7.96754791135577
585,8.542458965739776,4.055608888118325,1.559457956439715,585,2.2193848040537536,10.557137607651253
588,0.6284659276419777,0.5114631096862379,1.879465184641652,588,3.697265940550255,7.457441170983568
595,2.930968815214384,2.179502671063024,0.6548698307573391,595,4.392841256986784,8.630355107573406
601,10.178891647416524,4.080439938414349,1.131795126452971,601,2.941578249733131,7.836550687866175
602,0.3305917899476842,0.2922236400336979,1.2135761769025264,602,1.6612654440366295,9.747917115108619
