TARGID,MAG_R,MAG_G,SNR,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL,D_along,D_fil,is_member,nspec,timesc,err_lo,err_hi,t99,err_lo_t99,err_hi_t99,D_along_2D,D_fil_2D,is_member_2D
A2142-8887,19.2888,20.4409,7.366325855255127,239.9198686,26.5623141,239.92,26.5624,2.0,0.0923263,3.965899697206747,10.14326615844132,False,234,4.234455354311239,3.0355590207258665,1.0559002632883692,11.699550811504038,3.0355590207258665,1.0559002632883692,3.8173187794344647,0.11754841019416717,True
A2142-2912,19.8268,20.844,3.341545581817627,240.0362243,26.4177509,240.036,26.4178,3.0,0.0878318,4.570464572141713,2.8359879478853687,True,235,0.9475618838896852,0.6882275136679175,2.119357453934222,6.21284570731879,0.6882275136679175,2.119357453934222,4.6198861361164845,0.042736543963936634,True
A2142-8880,19.3174,20.2233,7.1078290939331055,239.9511257,26.5083609,239.951,26.5084,3.0,0.0870538,4.015433102712532,5.07546533405877,True,236,7.7417238450546435,3.2600849283487614,1.401391518545024,11.448390180152613,3.2600849283487614,1.401391518545024,4.094443482652366,0.11588550756671291,True
A2142-4212,18.3012,19.2263,11.449847221374512,239.9594856,26.9215064,239.96,26.9215,2.0,0.0915392,2.501432788035068,7.929438107720282,False,238,6.225904753104699,2.422838962796038,0.8270042056810842,12.080377148177508,2.422838962796038,0.8270042056810842,2.4280091937794817,0.7688414746145363,False
A2142-9149,19.3204,19.7599,4.307015419006348,240.2047727,26.5184204,240.205,26.5185,3.0,0.0869122,4.425025982779661,5.551817354619534,True,241,0.8149665580060859,0.6061550745572399,2.060361610706947,5.115357897509853,0.6061550745572399,2.060361610706947,4.519309777336543,0.8347179088435005,False
A2142-3012,19.3695,20.2327,7.510090351104736,240.1248642,26.3187293,240.125,26.3188,3.0,0.0849763,4.9668780705039834,11.097520372944977,False,246,0.6371553740575973,0.4894909862630836,1.56119862118317,11.128412000629464,0.4894909862630836,1.56119862118317,5.18611924022528,0.1424323091826297,True
A2142-9038,19.7825,20.0609,3.967118501663208,240.1529728,26.4628827,240.153,26.4629,3.0,0.0929655,4.8643691738649535,11.982645009826205,False,250,0.5923925707333453,0.4719345980381515,1.1503450788005125,12.327117399306204,0.4719345980381515,1.1503450788005125,4.650574362793168,0.5326623962000648,False
A2142-10010,18.9072,19.7862,6.372417449951172,240.2799298,26.9661622,240.28,26.9662,3.0,0.0899971,2.869434127543242,3.9974518305177433,True,257,3.285055425901483,2.599433046021165,1.0278705774264232,12.205902638781978,2.599433046021165,1.0278705774264232,2.8319943194206005,2.0241441309570005,False
A2142-9996,18.0663,19.0324,12.988445281982422,240.1646015,26.9895979,240.165,26.9896,2.0,0.0907573,2.580627347366494,5.877828382663283,True,274,1.231435277231066,0.9379694413733092,2.3221411032454125,7.815024053242738,0.9379694413733092,2.3221411032454125,2.5260347237272733,1.6532537004790155,False
A2142-4316,18.4774,19.3991,9.484403610229492,240.0792715,26.7942788,240.079,26.7943,3.0,0.0894629,3.1887749967218895,2.117128304128791,True,275,5.588198278511412,4.1309258133305775,2.9164056228528548,11.235589416272564,4.1309258133305775,2.9164056228528548,3.165597518146021,0.9427284828342175,False
A2142-4320,18.8888,19.7796,5.301334381103516,240.1110305,26.8256243,240.111,26.8257,3.0,0.0917494,3.1968911358582996,8.565918960382145,False,276,2.985765273982297,1.9823169976662784,2.941145313674573,9.412392329079086,1.9823169976662784,2.941145313674573,3.096084819604626,1.1224708805835746,False
A2142-4583,19.0083,19.7762,8.648746490478516,240.2316785,26.6169809,240.232,26.617,3.0,0.0878083,4.121319827207998,3.1080227410237686,True,287,2.211731993659809,1.855041805577688,2.354415241301286,12.08569940044911,1.855041805577688,2.354415241301286,4.166978573849416,1.1342490807075083,False
A2142-345,17.8323,18.8906,16.328292846679688,239.4449475,25.6608597,239.445,25.6608,3.0,0.0891342,6.625820037637264,3.8203967866418775,True,296,4.179812235274909,3.124282221845222,1.463614749592467,11.816526828046586,3.124282221845222,1.463614749592467,6.601450903447709,3.711527332098105,False
A2142-569,19.1289,19.8036,7.483314514160156,239.7242179,25.5679283,239.724,25.5679,3.0,0.0908307,7.668115466867919,6.444425059601231,True,305,4.3332332954279495,3.3031609239351107,2.787799491459124,9.598670732216,3.3031609239351107,2.787799491459124,7.499950958060403,2.8810573914944677,False
A2142-1569,19.6875,20.3727,4.064074993133545,239.9777473,25.8245663,239.978,25.8246,3.0,0.0916255,7.142739381772891,8.184812555877606,False,309,4.349010209039597,2.2666366229908155,1.1320534477897084,12.066525017927246,2.2666366229908155,1.1320534477897084,6.926679748058639,1.423390526847123,False
A2142-7632,17.9554,18.7255,13.446866035461426,240.0208079,26.0293749,240.021,26.0294,3.0,0.0907882,6.3081528240786,5.725965861805183,True,337,11.09046682403807,0.8482827418768188,0.4013930914283392,12.457743404349245,0.8482827418768188,0.4013930914283392,6.172644614646269,0.8448442497451154,False
A2142-7720,18.1499,19.194,15.107673645019531,240.0499594,26.0239043,240.05,26.0239,3.0,0.0904371,6.3616774336165705,4.708704598031766,True,344,1.1032627477380874,0.9106260571023306,1.293710964723343,11.991774743802315,0.9106260571023306,1.293710964723343,6.248714968380767,0.749975419361983,False
A2142-7623,17.7057,18.6527,19.20200157165528,239.9248138,26.0143225,239.925,26.0143,3.0,0.0880992,6.009670753137319,2.422182308674273,True,354,1.377317242987516,1.1145403166122936,1.1490890696716871,9.92711382246597,1.1145403166122936,1.1490890696716871,6.056564478522372,1.2259000716987034,False
A2142-354,19.3209,20.08,5.1424431800842285,239.5466383,25.6937037,239.547,25.6937,3.0,0.0894688,6.707069546741451,3.765123625477131,True,363,4.099902186159626,2.594978041418508,1.2493569593658531,12.061891025475544,2.594978041418508,1.2493569593658531,6.657888846641536,3.2711814867459146,False
A2142-7825,18.7491,19.6555,7.477048397064209,240.2421773,25.819822,240.242,25.8199,3.0,0.0886416,7.421261433196535,0.7269226387070824,True,389,4.748068399991352,3.739195139310812,1.74379547149916,12.28596653057966,3.739195139310812,1.74379547149916,7.434270178021538,0.4724008920811465,True
A2142-1674,19.1539,19.7465,5.247156143188477,240.1636111,25.7712627,240.164,25.7712,3.0,0.0886133,7.471726869110576,1.0655373981255731,True,390,0.6688332606500693,0.5608047448489955,1.4259086451040417,12.385049657927324,0.5608047448489955,1.4259086451040417,7.487168976395287,0.8549851801948241,False
A2142-1678,19.4327,20.4335,5.42830753326416,240.2077462,25.7264999,240.208,25.7266,3.0,0.0890102,7.768920753594105,0.921009972468655,True,392,0.7279941451541969,0.5877938535971179,1.4245566311776383,10.515408356170347,0.5877938535971179,1.4245566311776383,7.75092407174648,0.7864296582377596,False
A2142-1768,18.6642,19.6618,9.635226249694824,240.2955273,25.5737572,240.296,25.5738,3.0,0.0878342,8.444002914642216,3.0246617667840625,True,396,4.0457278840565625,3.5121326598326537,3.189324648653077,7.552107053472698,3.5121326598326537,3.189324648653077,8.535081181989606,0.7807575273386801,False
A2142-7820,19.7995,20.5053,3.2476110458374023,240.1950323,25.8540617,240.195,25.8541,3.0,0.0882168,7.161463013079149,1.8688670629815929,True,397,0.8223146542935957,0.6469896026173083,0.7323441552433554,6.533792008295918,0.6469896026173083,0.7323441552433554,7.207904861260209,0.5719152383456985,False
A2142-1765,18.0623,19.0081,14.454615592956545,240.2871462,25.7567606,240.287,25.7568,3.0,0.0875952,7.670548218911223,3.6176650365049032,True,399,6.142527863666774,4.063749932060685,1.5587347525723674,11.392115252225455,4.063749932060685,1.5587347525723674,7.774039724920814,0.4399307527921232,True
A2142-920,19.8562,20.74,4.262420177459717,240.2444666,25.170952,240.244,25.171,3.0,0.0872964,9.913838442120404,4.865204790459965,True,403,2.9202281382106907,2.43065168888801,1.8158682108884123,10.728113489730358,2.43065168888801,1.8158682108884123,10.081341405427784,1.7917049290363656,False
A2142-1866,19.6056,20.3569,5.038389682769775,240.3284743,25.5984293,240.329,25.5985,3.0,0.088263,8.44491900791904,1.7894162472278252,True,410,2.1217353423497425,1.40757218248317,1.6193297224842178,11.000975725653015,1.40757218248317,1.6193297224842178,8.495319230867748,0.6123360258904035,False
A2142-6660,19.9002,20.5255,3.103116512298584,240.1537645,25.4957512,240.154,25.4958,3.0,0.0894019,8.647983220514684,2.1585380903210436,True,436,0.9452406733332364,0.7683731628767028,2.0465212737404137,11.893826714424687,0.7683731628767028,2.0465212737404137,8.590870886785561,1.456319695783559,False
A2142-824,18.8646,19.7977,8.792844772338867,240.2189509,25.3269276,240.219,25.3269,3.0,0.088449,9.362493192954153,1.9511685697469523,True,444,3.397557213093967,2.5427231044055625,0.7745230699857308,8.85509729099953,2.5427231044055625,0.7745230699857308,9.398938904702986,1.564766168699093,False
A2142-909,17.9662,18.9749,15.344727516174316,240.2535732,25.1158955,240.254,25.1159,3.0,0.0829264,9.651785292482474,17.262461769715486,False,449,0.9248673823313652,0.7067277638045923,1.5071665730341557,6.256757334767347,0.7067277638045923,1.5071665730341557,10.322408920809092,1.8714348370459912,False
A2142-1961,17.3399,18.4075,22.204736709594727,240.4735782,25.4765149,240.474,25.4765,2.0,0.0877874,9.15590833193166,3.1015623260624645,True,464,0.8805747310210732,0.6538807753317979,1.70746774552119,9.728889224431809,0.6538807753317979,1.70746774552119,9.259506044640434,0.35216751951069686,True
A2142-7038,19.822,20.0236,3.834048271179199,240.6804204,25.2360405,240.68,25.236,3.0,0.0858388,10.272990835931779,8.762809835395442,False,465,3.319948336459188,1.3448044919669044,2.6292905342256248,12.270856845431616,1.3448044919669044,2.6292905342256248,10.620631577461664,0.21934422145524488,True
A2142-6925,18.82,19.7038,7.43375301361084,240.5884565,25.2989947,240.588,25.299,3.0,0.0878522,10.08796710313332,2.944018225129946,True,467,0.3333161506564868,0.2601895386119732,0.8033617261898045,4.296870416211838,0.2601895386119732,0.8033617261898045,10.19472757707559,0.3195373179916616,True
A2142-1666,19.2539,19.9919,3.922163724899292,240.0767659,25.778105,240.077,25.7782,3.0,0.0907815,7.458603252048706,5.733089890421643,True,486,1.1883594190258195,0.8979400773086637,1.9643402657078173,9.331447607869958,0.8979400773086637,1.9643402657078173,7.298909844470123,1.157321241807735,False
A2142-1669,18.7367,19.427,7.566657066345215,240.1438762,25.8094516,240.144,25.8094,3.0,0.0914741,7.510594939258915,7.6578593773138,False,490,6.2164011097149885,2.764112359442935,2.438356056179126,11.87752908780705,2.764112359442935,2.438356056179126,7.295225422673975,0.8484473748375988,False
A2142-5654,18.2298,19.182,14.72959041595459,239.5545242,25.2269637,239.554,25.2269,3.0,0.0882149,8.513231025405341,4.575141278838778,True,492,4.597409923961616,2.453851672552088,0.797081229565662,11.112691953776984,2.453851672552088,0.797081229565662,8.568620099251579,4.209671397281945,False
A2142-1566,18.1473,19.1616,14.262171745300291,239.9944041,25.9054394,239.994,25.9054,3.0,0.0901555,6.727561712815183,4.010830200654783,True,498,0.660357281504039,0.5027138359721981,1.637562320273128,11.627752115230612,0.5027138359721981,1.637562320273128,6.628341561692272,1.196062208478887,False
