nspec,timesc,err_lo,err_hi
109,6.300911350164979,0.8616694966003093,3.044819421398298
131,6.300911350164979,4.641387722541876,1.2969208833412695
133,6.300911350164979,3.3340390126812522,1.490275216548203
135,6.300911350164979,0.8395680268570445,1.12837890802734
143,6.300911350164979,2.953876243110333,1.5385453369846207
146,6.300911350164979,2.929417271230399,1.3560751837587866
147,6.300911350164979,3.401261589667971,1.9386478277664434
174,6.300911350164979,0.27957369514387875,1.5840640656452019
193,6.300911350164979,3.1101033110832375,0.9466345907152904
195,6.300911350164979,0.7841474719045385,1.9633402413790657
196,6.300911350164979,0.5784798238422084,1.5082636073162456
197,6.300911350164979,1.5057456536947535,3.64892669737155
202,6.300911350164979,0.8199823934640451,1.6471109320695858
206,6.300911350164979,0.6525967710166158,1.4715744807449225
211,6.300911350164979,1.3819556346043265,1.573718529004176
213,6.300911350164979,3.6925748945059853,2.0804317517718003
214,6.300911350164979,1.7524868596243066,1.6385447442635712
216,6.300911350164979,2.548925682772495,1.1602787878659644
217,6.300911350164979,0.334006051428942,0.9811265124968069
219,6.300911350164979,0.7523363630746789,1.2514104601548612
222,6.300911350164979,1.6327441779813547,1.9681356912374595
224,6.300911350164979,2.905013601664983,1.9367550679202061
229,6.300911350164979,0.6222880151856165,2.357405186761255
234,6.300911350164979,3.0355590207258665,1.0559002632883692
235,6.300911350164979,0.6882275136679175,2.119357453934222
236,6.300911350164979,3.2600849283487614,1.401391518545024
237,6.300911350164979,1.5706932394458466,0.9682529805996394
238,6.300911350164979,2.422838962796038,0.8270042056810842
241,6.300911350164979,0.6061550745572399,2.060361610706947
246,6.300911350164979,0.4894909862630836,1.5611986211831699
250,6.300911350164979,0.4719345980381515,1.1503450788005125
252,6.300911350164979,0.4318139899471369,0.722666191554818
257,6.300911350164979,2.599433046021165,1.0278705774264232
271,6.300911350164979,0.8817089949696406,2.3002782991899977
274,6.300911350164979,0.9379694413733093,2.3221411032454125
275,6.300911350164979,4.1309258133305775,2.9164056228528548
276,6.300911350164979,1.9823169976662784,2.941145313674573
287,6.300911350164979,1.855041805577688,2.354415241301286
296,6.300911350164979,3.124282221845222,1.463614749592467
300,6.300911350164979,1.6803636618973647,1.909045448633853
305,6.300911350164979,3.3031609239351107,2.7877994914591238
309,6.300911350164979,2.2666366229908155,1.1320534477897084
333,6.300911350164979,2.8574206049354203,2.0561656863544524
337,6.300911350164979,0.8482827418768188,0.40139309142833923
344,6.300911350164979,0.9106260571023306,1.293710964723343
354,6.300911350164979,1.1145403166122936,1.1490890696716871
363,6.300911350164979,2.594978041418508,1.2493569593658531
378,6.300911350164979,0.17567672679918278,0.6712916386268566
389,6.300911350164979,3.7391951393108123,1.7437954714991601
390,6.300911350164979,0.5608047448489955,1.4259086451040415
392,6.300911350164979,0.5877938535971179,1.4245566311776385
394,6.300911350164979,1.8820719998677156,1.8900994864204819
396,6.300911350164979,3.5121326598326537,3.189324648653077
397,6.300911350164979,0.6469896026173083,0.7323441552433554
399,6.300911350164979,4.063749932060685,1.5587347525723674
401,6.300911350164979,1.9163956625333345,1.6531822491950061
403,6.300911350164979,2.43065168888801,1.8158682108884125
410,6.300911350164979,1.40757218248317,1.6193297224842178
430,6.300911350164979,1.7434732233835852,1.6917203867106307
436,6.300911350164979,0.7683731628767028,2.0465212737404137
437,6.300911350164979,0.10785178346734359,0.3107374166835175
444,6.300911350164979,2.5427231044055625,0.7745230699857308
464,6.300911350164979,0.6538807753317979,1.70746774552119
465,6.300911350164979,1.3448044919669044,2.6292905342256248
467,6.300911350164979,0.26018953861197325,0.8033617261898045
486,6.300911350164979,0.8979400773086637,1.9643402657078175
490,6.300911350164979,2.764112359442935,2.438356056179126
492,6.300911350164979,2.453851672552088,0.797081229565662
493,6.300911350164979,1.362486486325631,1.0518332437739346
498,6.300911350164979,0.5027138359721981,1.637562320273128
502,6.300911350164979,3.97232518042817,2.0829341328333104
511,6.300911350164979,2.682377613335907,2.5287016511137903
514,6.300911350164979,0.1487425185863085,0.5229377928697687
536,6.300911350164979,4.0662813062030265,2.0818919937935627
537,6.300911350164979,1.8042265094254404,2.2158830015550013
570,6.300911350164979,2.251739436606359,1.2129872264248824
585,6.300911350164979,4.055608888118325,1.559457956439715
588,6.300911350164979,0.5114631096862379,1.879465184641652
595,6.300911350164979,2.1795026710630236,0.6548698307573391
601,6.300911350164979,4.080439938414349,1.131795126452971
602,6.300911350164979,0.29222364003369794,1.2135761769025264
604,6.300911350164979,2.3489871160035243,1.1790339611236638
612,6.300911350164979,3.2320999941866075,1.7889125503340342
615,6.300911350164979,0.22308260225250542,0.8103665624304384
616,6.300911350164979,4.2444713498276485,1.6884879007311948
619,6.300911350164979,0.6088529187650482,1.0108288469860227
621,6.300911350164979,2.0183627940862703,2.638114934570898
623,6.300911350164979,0.7793043268603581,2.712258711958137
629,6.300911350164979,0.37488352833182575,0.8400940268942201
647,6.300911350164979,3.071896597748566,1.68423223110603
652,6.300911350164979,0.6471154008042488,1.250852958574737
659,6.300911350164979,2.6990324215665193,4.261326311062652
665,6.300911350164979,1.1260769039841714,1.548868089485647
666,6.300911350164979,4.573094362793474,2.0335454178852475
668,6.300911350164979,2.0961943561926066,1.1898405479275596
672,6.300911350164979,0.44230397809449506,1.3146430167954293
673,6.300911350164979,3.3792159990052957,1.7860747366097591
674,6.300911350164979,4.353762259199383,4.950065881647957
676,6.300911350164979,0.19241771396564733,1.260240102545584
678,6.300911350164979,1.3659275401408522,1.118261895787592
679,6.300911350164979,0.3150701385539845,1.267188560782195
686,6.300911350164979,0.4529655358908604,1.601843937341644
688,6.300911350164979,0.6544280936888951,1.7291272829263447
691,6.300911350164979,3.4206613139866553,2.177707287277121
696,6.300911350164979,0.20261083607697916,1.0864405203993117
700,6.300911350164979,0.9565569031004415,1.1899386665363405
701,6.300911350164979,0.360024327628528,0.7454282242731534
704,6.300911350164979,0.08185984939666513,0.31636660502214164
705,6.300911350164979,0.40040925891783363,1.09421347378699
709,6.300911350164979,3.280694827680774,0.771655939679464
710,6.300911350164979,2.532006857560466,1.6828236964747552
712,6.300911350164979,2.6935071755919218,2.1831527032316345
715,6.300911350164979,2.271016795369734,1.8188931959444936
722,6.300911350164979,1.3643713909026918,0.5980704163442265
738,6.300911350164979,0.32012179086915715,1.052052599609917
744,6.300911350164979,0.3369474758848312,0.566237544110836
745,6.300911350164979,3.5642700187421994,2.8355496285783612
747,6.300911350164979,0.2950159950978586,0.920096784114973
750,6.300911350164979,1.0795865309665662,1.6317562247437127
755,6.300911350164979,0.5729587028457287,1.8852247128195607
758,6.300911350164979,3.748816537192522,1.5660377825115201
759,6.300911350164979,0.12441999313357693,0.5113784414892173
762,6.300911350164979,2.328734439344018,0.8302846713982754
763,6.300911350164979,3.284608910194465,1.304750100410903
764,6.300911350164979,1.7333462697742608,1.6919657368379575
768,6.300911350164979,0.9521139787210737,1.9295217312283661
777,6.300911350164979,0.9689867761771591,1.143598675982533
782,6.300911350164979,1.2781419340182545,2.8453670045750377
796,6.300911350164979,1.3940143881813645,2.9657654624840752
808,6.300911350164979,2.375848443794304,1.7927246220703372
814,6.300911350164979,1.60556298805116,1.9706024146658478
817,6.300911350164979,2.0809788699722374,1.8971346693839672
818,6.300911350164979,2.261694757883287,1.705254483754386
836,6.300911350164979,1.053668927788753,1.6354910778074165
849,6.300911350164979,2.0150985086801914,0.607954007182741
850,6.300911350164979,0.34008505621923785,1.0234538097146597
855,6.300911350164979,0.9510085100077967,1.958085512415944
857,6.300911350164979,0.17001250092353715,0.4951214781247284
858,6.300911350164979,1.5470039075528668,1.1770888852619912
861,6.300911350164979,3.2320237888682035,1.1189332988990524
867,6.300911350164979,0.5996715040301623,2.768657905821046
874,6.300911350164979,0.21042505166685377,1.1039350286285625
915,6.300911350164979,1.5757261750953466,1.2030953974588279
935,6.300911350164979,1.1129154167326512,1.581973558100921
941,6.300911350164979,4.109264597927903,1.504419614855565
954,6.300911350164979,1.7722360066587157,2.4025370240551087
449,6.300911350164979,0.7067277638045923,1.5071665730341555
902,6.300911350164979,3.3894516337202294,1.607201492075058
