nspec,t90,t90_err_lo,t90_err_hi,t99,t99_err_lo,t99_err_hi
196,7.47332041909517,1.8829904210813435,1.2708750086853904,8.397597252532208,1.3613297214012041,1.8250721602443676
197,4.448506869876172,0.7661392390243624,1.9666962752033577,8.298485819123373,2.9368178610969853,3.358933757839514
202,3.75511078658388,0.8773100588702549,1.376762910224934,5.2447969741681355,0.8389758236191298,1.78755874528286
206,7.770132354423582,0.8446505369508603,2.0507429881104553,8.908516381987491,1.2768082559980654,2.8829991535402772
211,2.4222967273943175,0.6589698257921839,1.2876673411540662,4.407750401233379,1.2159921643716807,1.48627601040031
213,5.789486765959165,1.2433359423900399,3.830793085573024,10.957965529256223,1.2357338092968035,1.215438292779945
214,1.9648818298968544,0.6768129940518592,1.3359157331061926,6.70399724305199,1.0261243116906265,3.006747273826253
216,4.434809505842344,1.3304538226896692,1.8112116402024183,11.400229267187706,0.8402903690543031,0.9526012934309023
217,3.452989288918565,0.6260661278140418,1.7665834082782936,3.9713321094057847,0.6611105523200616,2.4084967506946113
219,3.231221511984086,0.959748164015712,1.5830083654978049,4.199843380501602,1.0335023485486179,3.1533975444955082
222,10.034643124663088,1.7858868294002566,1.485828786661644,12.312046771136526,0.6607986873099332,0.19546357296695938
224,7.14922543457467,1.3409173565195092,2.054530813636039,12.049452258016288,1.415388864799537,0.411752009668227
229,4.758647555365845,1.2563941633217515,1.4168524225316963,5.934214950600509,1.113878816012873,2.2719246429671465
234,7.3125949799853105,1.0358567936218748,2.4473405607541627,11.699550811504038,1.0643348693934573,0.6072108334281197
235,5.023550338518782,0.8327847040095362,1.6272769680377506,6.21284570731879,1.125687951002746,3.5071155585731315
236,3.5525374695943155,0.9569549660737713,2.770007857908256,11.448390180152611,1.1144019334352606,0.8670291888027499
237,3.3589725889629665,0.8982637570327259,0.8896916439675633,5.641648950604612,1.3219893077503837,1.3217422718695353
238,5.768145976657243,1.1087803976998778,2.415142272950048,12.080377148177508,0.6308391481804616,0.2865695004421891
241,3.6089244269955225,0.6820354307323355,2.5694332976585956,5.115357897509853,1.6143466303500351,4.397681595923983
246,10.187625760267498,1.8573224524179217,1.2070628835425126,11.128412000629465,1.1476034922104326,1.1451809864008293
250,11.501575515979045,1.0602703119086918,0.5967895072665712,12.327117399306205,0.46052425561760124,0.15184819007245842
252,6.076973471459996,1.4326059399303102,2.348434591026824,6.788805701766066,1.4958088216590202,2.3637418592038326
257,8.457620162464575,0.6597716917429679,2.242815168428212,12.205902638781978,0.9580829499976407,0.2745628667250699
271,8.484439635829473,3.7621490759800125,2.193952645550757,10.31555767763586,3.027712273673025,1.6313436996204889
274,5.827831758320048,1.3105280018426075,2.7633647158856807,7.815024053242738,2.0775636714377956,3.1073296759581384
275,5.031594408292187,2.181622722815612,3.6799443532826492,11.235589416272564,1.7746888009034087,0.9519654611574904
276,5.322866507539619,1.6304735846581968,2.428347956799339,9.412392329079086,3.66772203822656,2.5905485501445114
287,9.424839914374251,2.444843302142351,1.4994494038588613,12.08569940044911,2.2500743965342593,0.39597438181690947
296,7.635252154154449,1.403038705234195,2.321374559107161,11.816526828046586,0.9434470926303717,0.5010746877678738
300,6.999263795449749,1.2520280634560867,1.214425852290792,10.541838652282571,0.8948443621052942,1.3023394830292823
305,4.6009043154641,1.196425452324661,1.9313416540588229,9.598670732216,2.475403604348215,1.7878297036977635
309,7.387548730860436,1.035252562721042,2.0031243728412633,12.066525017927246,1.0991545734766213,0.3885296439436008
