NSPEC,TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL
28,A2142-2550,19.3622,20.204,6.671457290649414,2.1824231147766113,239.5836791,26.527825,239.584,26.5278,3.0,0.0882889
29,A2142-2768,18.8829,19.8698,9.43881607055664,3.411403179168701,239.8061429,26.4389617,239.806,26.439,3.0,0.0868414
30,A2142-2658,18.6134,19.6033,13.679458618164062,4.985693454742432,239.7519866,26.5047543,239.752,26.5047,3.0,0.0875708
31,A2142-2632,18.6605,19.5697,8.960269927978516,3.5390000343322754,239.6682581,26.5593066,239.668,26.5593,3.0,-0.00034737
32,A2142-2559,20.0723,21.1446,5.606682777404785,1.39994215965271,239.4934144,26.5037908,239.493,26.5038,0.0,1.59746
34,A2142-7621,18.8391,19.6645,10.918102264404297,5.584758758544922,239.9885185,26.1336289,239.989,26.1336,3.0,0.154853
35,A2142-2560,19.6753,20.5362,5.918680667877197,1.856460690498352,239.6145668,26.6163775,239.615,26.6164,3.0,0.0843384
37,A2142-2536,18.8861,19.8017,9.703653335571289,3.196829080581665,239.4864481,26.5772419,239.487,26.5773,2.0,0.0875275
39,A2142-2685,19.8525,20.6437,4.219054222106934,1.6714980602264404,239.6727033,26.4142816,239.673,26.4143,3.0,0.192258
41,A2142-2783,19.9631,20.9084,4.415162563323975,1.3070907592773438,239.805189,26.462092,239.805,26.4621,3.0,0.0870666
42,A2142-2913,20.0621,20.6496,3.341381311416626,1.5850194692611694,239.9330389,26.2682926,239.933,26.2683,3.0,0.118981
43,A2142-2541,19.6828,20.5067,6.830735206604004,2.6939826011657715,239.5650547,26.6511797,239.565,26.6512,0.0,0.82306
45,A2142-2780,19.6613,20.6963,5.789634704589844,1.6896559000015259,239.7462753,26.4399766,239.746,26.44,3.0,0.192471
46,A2142-2895,20.0275,20.556,4.045048236846924,2.2390353679656982,239.9148369,26.3382364,239.915,26.3383,3.0,0.154174
47,A2142-2443,18.7863,19.3965,6.695701599121094,2.795994281768799,239.4168843,26.6089573,239.417,26.6089,3.0,0.0906761
48,A2142-2528,19.461,20.418,7.86734676361084,2.570107936859131,239.6158242,26.6401432,239.616,26.6401,3.0,0.0852545
49,A2142-3948,19.7728,20.5738,3.7885372638702393,1.2480524778366089,239.71672,26.8817446,239.717,26.8817,3.0,0.0934347
50,A2142-8563,18.5445,19.7344,12.872984886169434,3.826939344406128,239.6359535,26.8414879,239.636,26.8414,3.0,0.166356
51,A2142-3959,21.2202,21.4698,1.5672645568847656,0.6920017600059509,239.7330459,26.8411431,239.733,26.8412,3.0,0.0873609
53,A2142-8750,20.0003,20.8359,3.766526699066162,1.1564404964447021,239.8313412,26.6699572,239.831,26.67,0.0,1.58708
54,A2142-8705,18.8038,19.4797,8.053064346313477,3.3445675373077393,239.7985031,26.6115607,239.798,26.6116,3.0,0.0975362
55,A2142-8593,18.3318,19.2956,12.614052772521973,4.321342945098877,239.6138098,26.6759421,239.614,26.6759,3.0,0.0865533
56,A2142-2757,19.6717,20.1634,4.558163642883301,2.8954861164093018,239.8050697,26.4863512,239.805,26.4864,3.0,-0.000409254
57,A2142-8590,19.0613,19.8955,7.30849552154541,2.1278460025787354,239.6853993,26.8034375,239.685,26.8034,3.0,0.165903
58,A2142-2728,21.4026,21.9854,0.5204023718833923,0.24504464864730835,239.7461646,26.5373988,239.746,26.5374,3.0,0.0859811
59,A2142-2644,19.9549,20.608,5.854259967803955,2.741330623626709,239.6589388,26.6053741,239.659,26.6054,3.0,0.0842882
60,A2142-8890,19.5927,20.3368,4.852217674255371,1.8622982501983643,239.9175575,26.5297514,239.918,26.5297,2.0,0.154487
63,A2142-8605,20.1717,21.1363,2.399385929107666,0.6347864866256714,239.7399693,26.8013307,239.74,26.8012,3.0,0.214252
64,A2142-8710,19.4075,20.3008,7.984116554260254,2.666665554046631,239.738418,26.6676404,239.738,26.6676,2.0,0.0861882
65,A2142-8686,20.1885,20.9003,2.9560227394104004,1.1207399368286133,239.7337274,26.7601222,239.734,26.7601,3.0,0.0870361
66,A2142-2866,20.8712,22.4073,2.352227210998535,0.3587155342102051,239.8637525,26.3992817,239.864,26.3993,3.0,0.343575
67,A2142-2762,18.8581,19.8872,11.762914657592773,4.027338981628418,239.776298,26.5027945,239.776,26.5028,3.0,0.154128
68,A2142-3939,19.2914,20.4208,10.10474967956543,2.862396240234375,239.6794596,26.8691062,239.679,26.8691,2.0,0.167215
70,A2142-5381,19.8445,20.7308,4.296916484832764,1.191382646560669,239.5869467,26.8177987,239.587,26.8178,3.0,0.123679
71,A2142-2664,19.7686,20.6057,7.067630767822266,2.6416056156158447,239.7349443,26.5291816,239.735,26.5292,3.0,0.0861326
72,A2142-2810,21.4326,22.2506,0.8536345958709717,0.35029926896095276,239.8912348,26.3934487,239.891,26.3935,2.0,0.468512
73,A2142-2790,19.8304,20.7876,5.427253723144531,1.7838351726531982,239.9359171,26.4615403,239.936,26.4615,3.0,0.208796
74,A2142-5374,18.5093,19.3023,12.452743530273438,5.162009239196777,239.5315803,26.7859015,239.532,26.7859,3.0,0.0622581
75,A2142-2892,19.3501,20.1182,5.934085369110107,2.2189831733703613,239.9664706,26.4165248,239.966,26.4166,3.0,0.0892056
76,A2142-2909,19.6621,20.4658,4.197653770446777,1.4084440469741821,239.9594479,26.3530763,239.959,26.3531,2.0,0.154201
77,A2142-5379,18.4935,19.4851,14.673322677612305,5.485530853271484,239.5556863,26.748167,239.556,26.7481,3.0,0.0873369
79,A2142-8836,19.8916,21.0523,5.9366559982299805,1.6261909008026123,239.8838862,26.5904412,239.884,26.5905,3.0,0.2867
80,A2142-2669,20.0154,20.9337,5.218153953552246,1.971113681793213,239.7176835,26.425842,239.718,26.4258,3.0,0.0895035
81,A2142-2907,19.9556,20.8176,4.91744327545166,1.8270540237426758,239.9352105,26.4031735,239.935,26.4032,3.0,0.090905
83,A2142-4151,19.9693,21.0507,6.922909259796143,2.090728282928467,239.4872654,26.7496123,239.487,26.7496,3.0,0.227927
84,A2142-8856,19.1746,19.6433,7.379523754119873,4.170300483703613,239.9058523,26.6134562,239.906,26.6134,3.0,0.0499018
85,A2142-8709,19.3439,20.2754,7.877060890197754,2.696321487426758,239.6959318,26.627711,239.696,26.6278,3.0,0.0861387
86,A2142-8755,19.7956,20.5491,3.321589946746826,1.2224395275115967,239.83164,26.6071848,239.832,26.6072,3.0,0.155625
87,A2142-2645,19.1422,20.1217,0.8340418338775635,0.25733980536460876,239.5774486,26.4555868,239.577,26.4556,0.0,0.434468
88,A2142-2770,19.6435,20.5829,6.605050086975098,2.508666753768921,239.8800438,26.4899862,239.88,26.4901,3.0,0.217944
91,A2142-8708,20.0075,20.3436,3.4203829765319824,1.866445541381836,239.7572525,26.7178108,239.757,26.7178,3.0,0.0965739
92,A2142-2659,17.7657,18.7516,19.032527923583984,8.07568645477295,239.6944283,26.4142223,239.694,26.4142,3.0,0.0870759
93,A2142-8586,19.5743,20.3116,5.308969497680664,2.0643632411956787,239.550892,26.7175172,239.551,26.7175,3.0,0.086701
94,A2142-8874,19.0173,19.9638,10.20486831665039,3.7322940826416016,239.9230876,26.4963629,239.923,26.4964,3.0,0.0907601
95,A2142-4147,19.2413,20.1299,7.62812614440918,2.698770523071289,239.4979537,26.7612343,239.498,26.7613,3.0,0.0867979
96,A2142-2676,19.9817,20.9625,4.231390953063965,1.1831707954406738,239.618329,26.4327266,239.618,26.4327,2.0,0.21553
97,A2142-1164,19.802,20.2608,3.7154295444488525,2.019084930419922,239.2684884,26.1338175,239.268,26.1338,3.0,0.0764919
