NSPEC,TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL
392,A2142-1678,19.4327,20.4335,5.42830753326416,1.730607986450195,240.2077462,25.7264999,240.208,25.7266,3.0,0.0890102
396,A2142-1768,18.6642,19.6618,9.635226249694824,3.4258241653442383,240.2955273,25.5737572,240.296,25.5738,3.0,0.0878342
397,A2142-7820,19.7995,20.5053,3.2476110458374023,1.3658877611160278,240.1950323,25.8540617,240.195,25.8541,3.0,0.0882168
399,A2142-1765,18.0623,19.0081,14.454615592956545,5.634418487548828,240.2871462,25.7567606,240.287,25.7568,3.0,0.0875952
403,A2142-920,19.8562,20.74,4.262420177459717,1.369295597076416,240.2444666,25.170952,240.244,25.171,3.0,0.0872964
410,A2142-1866,19.6056,20.3569,5.038389682769775,2.000913381576538,240.3284743,25.5984293,240.329,25.5985,3.0,0.088263
436,A2142-6660,19.9002,20.5255,3.103116512298584,1.280958652496338,240.1537645,25.4957512,240.154,25.4958,3.0,0.0894019
444,A2142-824,18.8646,19.7977,8.792844772338867,2.9905800819396973,240.2189509,25.3269276,240.219,25.3269,3.0,0.088449
449,A2142-909,17.9662,18.9749,15.344727516174316,5.435127258300781,240.2535732,25.1158955,240.254,25.1159,3.0,0.0829264
464,A2142-1961,17.3399,18.4075,22.204736709594727,8.842248916625977,240.4735782,25.4765149,240.474,25.4765,2.0,0.0877874
465,A2142-7038,19.822,20.0236,3.834048271179199,2.445744752883911,240.6804204,25.2360405,240.68,25.236,3.0,0.0858388
467,A2142-6925,18.82,19.7038,7.43375301361084,2.4823198318481445,240.5884565,25.2989947,240.588,25.299,3.0,0.0878522
486,A2142-1666,19.2539,19.9919,3.922163724899292,1.56482195854187,240.0767659,25.778105,240.077,25.7782,3.0,0.0907815
490,A2142-1669,18.7367,19.427,7.566657066345215,3.5257928371429443,240.1438762,25.8094516,240.144,25.8094,3.0,0.0914741
492,A2142-5654,18.2298,19.182,14.72959041595459,5.464112281799316,239.5545242,25.2269637,239.554,25.2269,3.0,0.0882149
498,A2142-1566,18.1473,19.1616,14.262171745300291,5.55732011795044,239.9944041,25.9054394,239.994,25.9054,3.0,0.0901555
502,A2142-1,19.9489,20.4748,3.373627185821533,1.4857187271118164,239.512662,25.2294763,239.513,25.2294,3.0,0.0882957
536,A2142-6507,18.925,19.7471,7.689272403717041,2.976804733276367,239.9150217,25.5804651,239.915,25.5804,3.0,0.0893233
537,A2142-6502,19.1987,20.0939,7.809158802032471,2.8069372177124023,239.8654606,25.680102,239.865,25.6802,3.0,0.089066
570,A2142-6589,19.7429,20.4208,4.106797218322754,1.6777760982513428,240.0556319,25.6398341,240.056,25.6398,3.0,0.0904769
585,A2142-2269,18.9781,19.8851,8.372122764587402,3.1153011322021484,240.8172555,25.2851825,240.817,25.2852,3.0,0.0878312
588,A2142-7826,18.239,19.241,13.528054237365724,4.922892093658447,240.2746948,25.8491017,240.275,25.8491,3.0,0.0898137
595,A2142-1871,18.8911,19.7802,7.835700035095215,2.688659429550171,240.4514414,25.6501542,240.451,25.6502,3.0,0.0900707
601,A2142-7924,18.3121,19.2724,12.984380722045898,5.145316123962402,240.4305927,25.7786833,240.431,25.7787,3.0,0.0875239
602,A2142-2078,19.5212,20.3937,4.983202934265137,1.6951357126235962,240.7434533,25.4857955,240.743,25.4858,2.0,0.0890844
604,A2142-6917,17.8422,18.7774,15.171279907226562,6.332125186920166,240.589687,25.322226,240.59,25.3223,3.0,0.0848711
615,A2142-1966,17.5717,18.7033,17.535964965820312,5.838323593139648,240.5025451,25.456714,240.503,25.4567,2.0,0.0869069
616,A2142-1956,19.848,20.7219,4.072240352630615,1.2195217609405518,240.5411746,25.4008095,240.541,25.4009,3.0,0.0907181
619,A2142-2220,19.2304,20.0938,7.079614639282227,2.289761543273926,240.7105087,25.3010936,240.711,25.3011,3.0,0.0875437
621,A2142-8111,19.461,20.394,4.265296936035156,1.3171181678771973,240.7147621,25.583096,240.715,25.5831,3.0,0.0886222
629,A2142-8369,19.1491,19.4843,3.973153829574585,2.582214832305908,240.9723508,25.56218,240.972,25.5622,3.0,0.0929297
652,A2142-1973,18.0398,19.032,12.017318725585938,4.092541217803955,240.5939515,25.5492662,240.594,25.5493,3.0,0.0897993
659,A2142-8245,18.9872,19.9307,6.912419319152832,2.6086974143981934,240.7978686,25.5050865,240.798,25.5051,3.0,0.0881822
665,A2142-2244,18.6864,19.675,10.495112419128418,3.5437381267547607,240.8529564,25.4233059,240.853,25.4233,3.0,0.087675
666,A2142-2276,18.31,19.2752,10.432872772216797,3.794373035430908,240.8914922,25.3801867,240.891,25.3801,3.0,0.0888561
668,A2142-8507,19.0704,19.8701,7.766239166259766,2.961472988128662,241.0044636,25.3918232,241.005,25.3918,2.0,0.0870219
