TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL,D_along,D_fil,is_member,nspec,timesc,err_lo,err_hi,t99,err_lo_t99,err_hi_t99,m_star,err_lo_m,err_hi_m
A2142-2664,19.7686,20.6057,7.067630767822266,2.6416056156158447,239.7349443,26.5291816,239.735,26.5292,3.0,0.0861326,3.504761248507796,7.774742799101445,False,71,5.715539048251672,4.5373157352414175,1.785340275814672,6.83753884804829,3.1135641695414726,0.8829544219144321,6.83753884804829,3.1135641695414726,0.8829544219144321
A2142-2892,19.3501,20.1182,5.934085369110107,2.2189831733703613,239.9664706,26.4165248,239.966,26.4166,3.0,0.0892056,4.516652268983559,1.158082000827559,True,75,4.141192918209112,1.2688770853016988,0.7131598758732443,12.262549468848572,0.9320822681690012,0.2420026919469098,12.262549468848572,0.9320822681690012,0.2420026919469098
A2142-5379,18.4935,19.4851,14.673322677612305,5.485530853271484,239.5556863,26.748167,239.556,26.7481,3.0,0.0873369,2.351156595866058,4.362976692958112,True,77,0.928643890651875,0.7624381220414413,1.2265998807592613,5.853928548395291,1.2645967777198512,3.4163759812698613,5.853928548395291,1.2645967777198512,3.4163759812698613
A2142-2669,20.0154,20.9337,5.218153953552246,1.971113681793213,239.7176835,26.425842,239.718,26.4258,3.0,0.0895035,4.03067794592455,2.299899019387448,True,,,,,,,,,,
A2142-2907,19.9556,20.8176,4.91744327545166,1.827054023742676,239.9352105,26.4031735,239.935,26.4032,3.0,0.090905,4.597704929558667,6.046842975399938,True,81,4.548323632822226,1.0201023502462894,1.450024470666503,12.143059643703456,0.9973064521687824,0.2850802604574678,12.143059643703456,0.9973064521687824,0.2850802604574678
A2142-8709,19.3439,20.2754,7.877060890197754,2.696321487426758,239.6959318,26.627711,239.696,26.6278,3.0,0.0861387,3.046198302850118,7.74497600228145,False,85,2.4008768802822718,1.9360072349003827,1.30120955223199,10.527313635572282,1.7265361080529829,1.659411264347236,10.527313635572282,1.7265361080529829,1.659411264347236
A2142-2659,17.7657,18.7516,19.032527923583984,8.07568645477295,239.6944283,26.4142223,239.694,26.4142,3.0,0.0870759,3.9275691395102954,5.157523425851439,True,92,0.4416794185187314,0.3655344590660458,0.8832423061501666,8.871126852140431,1.589280782186291,1.6632440898355068,8.871126852140431,1.589280782186291,1.6632440898355068
A2142-8586,19.5743,20.3116,5.308969497680664,2.0643632411956787,239.550892,26.7175172,239.551,26.7175,3.0,0.086701,2.447377823105802,6.1766477959263595,True,93,1.2492841025626849,0.9408012440799371,1.7489904909171807,10.424649542532816,2.6358023931998185,1.7669888578832396,10.424649542532816,2.6358023931998185,1.7669888578832396
A2142-8874,19.0173,19.9638,10.20486831665039,3.7322940826416016,239.9230876,26.4963629,239.923,26.4964,3.0,0.0907601,4.180218643331696,5.6282809774852085,True,94,0.4208849859518633,0.3454529115455234,1.0695227212586025,8.106572113306605,1.6626745845860755,2.9559399242245057,8.106572113306605,1.6626745845860755,2.9559399242245057
A2142-4147,19.2413,20.1299,7.62812614440918,2.698770523071289,239.4979537,26.7612343,239.498,26.7613,3.0,0.0867979,2.1806157219255975,5.919224546705226,True,95,2.4242906120538947,1.786561278202491,1.4848777662362398,10.69876396255971,0.7249141485601331,1.3771977052652158,10.69876396255971,0.7249141485601331,1.3771977052652158
A2142-7622,18.0551,19.0474,18.60007667541504,7.269609451293945,239.9550985,26.0799308,239.955,26.0799,3.0,0.0912373,6.002834676378437,7.035097207224125,False,107,0.4281817692140395,0.3718535539135734,1.1886466222992276,5.570554871226371,0.790147338767393,2.0602398060040805,5.570554871226371,0.790147338767393,2.0602398060040805
A2142-6138,19.7008,20.5979,6.441014289855957,2.252011775970459,239.3057901,26.0752398,239.306,26.0753,3.0,0.0940135,4.9270972696948565,15.381609157999366,False,109,6.165235727850157,4.552882208513143,1.933377286443931,11.787385597573603,1.048534276753534,0.623972577023336,11.787385597573603,1.048534276753534,0.623972577023336
A2142-7243,19.3308,19.5244,8.131629943847656,5.737586975097656,239.3383497,26.3352846,239.338,26.3353,3.0,0.0921321,3.7987607972171595,9.971769553283785,False,131,0.0769127674227529,0.0692290969132418,0.4362482501288891,12.440506700439723,0.3654545093153132,0.0658682880087457,12.440506700439723,0.3654545093153132,0.0658682880087457
A2142-7166,19.7581,20.3955,5.333491325378418,2.134649991989136,239.3156116,26.5028903,239.316,26.5029,2.0,0.0849637,2.8164304179727693,11.352635431534619,False,133,2.314271643400769,1.9452020136735888,1.407873865068968,12.204156880606687,0.8650662340852122,0.3340742431116617,12.204156880606687,0.8650662340852122,0.3340742431116617
A2142-1156,19.1415,19.8631,6.66581916809082,2.3871920108795166,239.2889821,26.3146407,239.289,26.3147,3.0,0.0885146,3.644364047718801,3.039468858271268,True,135,4.303347696169428,2.5538790254785635,2.4057381581926087,10.429937284625222,2.315006736209739,1.6919200735604851,10.429937284625222,2.315006736209739,1.6919200735604851
A2142-1161,17.8233,18.8642,21.77425765991211,8.43359088897705,239.3418792,26.3057251,239.342,26.3057,3.0,0.0848579,3.625375855870704,11.728416550344699,False,143,2.439182593446583,1.8228196520848647,2.1737189800988297,12.10011738717055,0.7803482298089701,0.2943164681669543,12.10011738717055,0.7803482298089701,0.2943164681669543
A2142-1425,19.3455,20.1253,6.824147701263428,2.889202117919922,239.7069283,26.0489288,239.707,26.049,3.0,0.0885769,5.498712284178377,2.069533446354339,True,146,4.424464084974552,2.7774271738349707,1.4664520421180791,11.038048998432338,0.9164544932793994,0.9821148168449588,11.038048998432338,0.9164544932793994,0.9821148168449588
A2142-7236,18.413,19.3613,15.905747413635254,6.3112101554870605,239.416542,26.2828422,239.417,26.2828,2.0,0.0843037,3.822437395046083,13.2526183891179,False,147,1.1470948469735172,0.933914446991861,2.9358884862757906,9.129494533243356,1.9330618261894927,2.3013603843258235,9.129494533243356,1.9330618261894927,2.3013603843258235
A2142-7723,18.0283,19.0205,17.306434631347656,6.991610050201416,240.1476628,26.0635514,240.148,26.0635,2.0,0.088597,6.253320167098148,0.7288094835415518,True,174,2.1920274444106256,1.56778954518058,1.1128207040736076,5.165187998053206,1.2570624193958988,2.221160100511044,5.165187998053206,1.2570624193958988,2.221160100511044
A2142-4197,18.1206,19.1016,12.822839736938477,5.089980602264404,239.8339761,26.895839,239.834,26.8958,3.0,0.0864377,2.24199717513852,6.837668845720421,True,193,1.019545458637979,0.8218045738256707,2.2598185095168013,8.791389194927978,1.1841033524211406,2.1772049382180185,8.791389194927978,1.1841033524211406,2.1772049382180185
A2142-4174,19.0092,19.9427,10.213212013244627,3.617288112640381,239.7728806,26.8900754,239.773,26.8901,3.0,0.0945095,2.3526406404405917,16.4510161911216,False,195,3.2720273201969903,2.492528432092156,1.7269560884820754,11.833820941718642,1.1278768932926777,0.5178178636841526,11.833820941718642,1.1278768932926777,0.5178178636841526
A2142-8754,19.8956,20.5644,3.420993089675904,1.457506537437439,239.881285,26.6876629,239.881,26.6877,3.0,0.0897412,3.269830211321973,2.696198644173549,True,196,0.1010081677142538,0.092140467725164,0.4339561858970019,2.3485133999434264,0.3230601821701815,1.0308164459818716,2.3485133999434264,0.3230601821701815,1.0308164459818716
A2142-9026,18.9603,19.9174,9.967796325683594,3.460296630859375,240.0426794,26.5148298,240.043,26.5149,3.0,0.094273,4.492286009163288,15.745392665789788,False,197,0.3930593990327906,0.2971581238612273,1.439450733299,3.045460223562828,1.1343423941164614,4.708776508563621,3.045460223562828,1.1343423941164614,4.708776508563621
A2142-8707,18.6834,19.6855,13.570667266845703,4.806673049926758,239.7820424,26.7626213,239.782,26.7626,3.0,0.0860944,2.6663661623639823,7.8316726944150785,False,202,6.672666231143824,5.191914872323378,1.6079057448528091,11.35375802424127,1.2695023260244565,0.7978365497523576,11.35375802424127,1.2695023260244565,0.7978365497523576
A2142-9015,19.1708,19.9796,8.517729759216309,3.1617393493652344,240.0214666,26.5300994,240.021,26.5301,2.0,0.0899332,4.187066046574376,3.2429306845860513,True,206,5.410514934072676,3.2040258654294806,1.5478331032933736,12.212899061163736,0.95452453642614,0.2982496897671325,12.212899061163736,0.95452453642614,0.2982496897671325
A2142-8739,19.9974,20.835,5.540243148803711,1.9890384674072263,239.8826354,26.7422867,239.883,26.7423,2.0,0.0905128,3.0734309854807216,4.926318301727586,True,213,1.8485561710441685,1.516114349166101,2.7859662026646568,8.700873881277303,2.005765823999191,3.050210869340388,8.700873881277303,2.005765823999191,3.050210869340388
A2142-8732,17.7409,18.7224,17.980850219726562,7.303860187530518,239.8667652,26.6589415,239.867,26.6589,3.0,0.0878883,3.2928452681246845,2.655540763141146,True,214,1.7422711366480952,1.3154659813904557,2.3626753117239634,9.840503649785775,1.1046902508690053,1.4545491927800125,9.840503649785775,1.1046902508690053,1.4545491927800125
A2142-4223,20.9013,21.6589,2.1511950492858887,0.90240740776062,239.7944912,26.8926627,239.794,26.8926,3.0,0.0879958,2.222522673371057,2.3340757288643945,True,,,,,,,,,,
A2142-4456,18.013,19.0139,19.01760482788086,7.25830078125,240.1015275,26.6764482,240.102,26.6764,3.0,0.0898314,3.7282868230434527,3.053347642434144,True,217,3.228390237412701,2.4589282844293923,1.2512815346785198,8.514401849131167,1.5826093267286048,1.9561638919023745,8.514401849131167,1.5826093267286048,1.9561638919023745
A2142-4266,20.1688,20.9581,4.613912582397461,1.7499651908874512,239.8882423,26.8670445,239.888,26.8671,2.0,0.0871769,2.473781827291688,4.715633712871661,True,,,,,,,,,,
A2142-4216,19.6477,20.3846,3.928624391555786,1.672119140625,239.9975793,26.9301887,239.998,26.9302,3.0,0.089359,2.477683834890598,1.8510911422181398,True,222,3.250463838182398,2.7450403947573503,1.4264261505378304,11.837809587281246,1.3480131065064445,0.5893818446515446,11.837809587281246,1.3480131065064445,0.5893818446515446
A2142-8858,19.9147,20.499,6.263425827026367,3.154930591583252,239.9333552,26.6023325,239.933,26.6024,2.0,0.0902301,3.7373586780783397,4.100758492511796,True,224,3.0953868456500317,2.429858849988797,2.1603813816482766,12.157843207026556,1.5405951270109863,0.3313566157258734,12.157843207026556,1.5405951270109863,0.3313566157258734
